model,metric,mean,std,ci95_lo,ci95_hi,n_valid,n_total
SwinUNETR_allMod(13ch),biopsy_auc,0.5843395691609977,0.3659821420134512,0.37302777155356703,0.7956513667684284,14,16
SwinUNETR_allMod(13ch),biopsy_rmse,0.3462860539969934,0.10915073249567528,0.28812373420314985,0.404448373790837,16,16
SwinUNETR_allMod(13ch),biopsy_mae,0.31483224601956816,0.10207223013316258,0.26044179388667915,0.3692226981524572,16,16
SwinUNETR_allMod(13ch),best_val_auc,0.9993870421158244,0.0014689843920053325,0.9985735456746853,1.0002005385569634,15,16
SwinUNETR_allMod(13ch),best_val_rmse,0.01397976849693805,0.017969909573106253,0.004404279598603187,0.023555257395272915,16,16
SwinUNETR_allMod(13ch),best_val_mae,0.0011013553558996136,0.0022779472898603196,-0.00011247707304560379,0.0023151877848448313,16,16
swinunetr_modality_ablation_work/swinunetr_nonPET,biopsy_auc,0.6059027777777778,0.28111766749040457,0.4435902689493496,0.768215286606206,14,16
swinunetr_modality_ablation_work/swinunetr_nonPET,biopsy_rmse,0.3564376901102786,0.1353319280536204,0.28432439597288955,0.42855098424766763,16,16
swinunetr_modality_ablation_work/swinunetr_nonPET,biopsy_mae,0.3211914514591361,0.1360250452837575,0.24870882122044827,0.3936740816978239,16,16
swinunetr_modality_ablation_work/swinunetr_nonPET,best_val_auc,0.9802737647791735,0.07612352605287603,0.9381179611722756,1.0224295683860714,15,16
swinunetr_modality_ablation_work/swinunetr_nonPET,best_val_rmse,0.011715360145899467,0.013524051534005578,0.004508901771830204,0.01892181851996873,16,16
swinunetr_modality_ablation_work/swinunetr_nonPET,best_val_mae,0.0005913718815691027,0.0008535380703600185,0.00013655354852249195,0.0010461902146157134,16,16
swinunetr_modality_ablation_work/swinunetr_standard_MRI,biopsy_auc,0.64984410430839,0.3222630090753618,0.4637749825325204,0.8359132260842597,14,16
swinunetr_modality_ablation_work/swinunetr_standard_MRI,biopsy_rmse,0.319085600123964,0.10376729658720459,0.2637919108352848,0.37437928941264315,16,16
swinunetr_modality_ablation_work/swinunetr_standard_MRI,biopsy_mae,0.289921050297431,0.1032148371016344,0.23492174588861642,0.34492035470624555,16,16
swinunetr_modality_ablation_work/swinunetr_standard_MRI,best_val_auc,0.9995334003340752,0.0014233300047640422,0.9987451864498817,1.0003216142182687,15,16
swinunetr_modality_ablation_work/swinunetr_standard_MRI,best_val_rmse,0.012826749894884415,0.019935263441315954,0.002203997844234846,0.023449501945533982,16,16
swinunetr_modality_ablation_work/swinunetr_standard_MRI,best_val_mae,0.0010787945877837046,0.0030351349892494737,-0.0005385146856030432,0.0026961038611704527,16,16
unet_all_modalities,biopsy_auc,0.6551020408163266,0.3265693164392673,0.4665465311934687,0.8436575504391846,14,16
unet_all_modalities,biopsy_rmse,0.34339796328138184,0.11002400958676616,0.28477030697280004,0.40202561958996363,16,16
unet_all_modalities,biopsy_mae,0.3148006862271212,0.10111308268526793,0.26092132769221704,0.36868004476202537,16,16
unet_all_modalities,best_val_auc,0.9968603459069615,0.011598375516692792,0.9904373796336817,1.0032833121802411,15,16
unet_all_modalities,best_val_rmse,0.023375337972538546,0.04740622930801637,-0.0018856585062745936,0.04863633445135168,16,16
unet_all_modalities,best_val_mae,0.004405508291711158,0.013491647065823212,-0.0027836829601127567,0.011594699543535071,16,16
UNet_MRI(4ch),biopsy_auc,0.5129747732426304,0.33651116308037093,0.3186790122684052,0.7072705342168556,14,16
UNet_MRI(4ch),biopsy_rmse,0.3766965543563301,0.08881023424785457,0.3293729209991784,0.42402018771348177,16,16
UNet_MRI(4ch),biopsy_mae,0.34328389474055554,0.0950964902946831,0.2926105519848333,0.39395723749627776,16,16
UNet_MRI(4ch),best_val_auc,0.9999467565129634,0.00016570934280820426,0.9998549897376514,1.0000385232882754,15,16
UNet_MRI(4ch),best_val_rmse,0.020727441777125932,0.010989569402493002,0.014871513599916845,0.02658336995433502,16,16
UNet_MRI(4ch),best_val_mae,0.0010132987335964572,0.0006945148887042039,0.0006432178726182673,0.001383379594574647,16,16
UNet_unet_diffusion,biopsy_auc,0.6754109977324262,0.3080272874854362,0.49756133689215476,0.8532606585726976,14,16
UNet_unet_diffusion,biopsy_rmse,0.33868504545868405,0.09326426103174978,0.2889880287604218,0.3883820621569463,16,16
UNet_unet_diffusion,biopsy_mae,0.3083056839978128,0.0922168792403052,0.2591667776604009,0.35744459033522463,16,16
UNet_unet_diffusion,best_val_auc,0.9976813956797003,0.00816948897820223,0.9931572834795561,1.0022055078798444,15,16
UNet_unet_diffusion,best_val_rmse,0.03375116936513223,0.06634175743643154,-0.0015998578197399874,0.06910219655000444,16,16
UNet_unet_diffusion,best_val_mae,0.009374524322538491,0.02454634909023373,-0.003705301830841305,0.02245435047591829,16,16
UNet_unet_perfusion,biopsy_auc,0.6070294784580499,0.333517029902987,0.41446247851163953,0.7995964784044602,14,16
UNet_unet_perfusion,biopsy_rmse,0.3742615255723252,0.13461442644712288,0.30253056105321297,0.4459924900914375,16,16
UNet_unet_perfusion,biopsy_mae,0.34149961070484297,0.13572612442196103,0.26917626414991375,0.4138229572597722,16,16
UNet_unet_perfusion,best_val_auc,0.9680772691308533,0.11796876689776715,0.902748343541728,1.0334061947199786,15,16
UNet_unet_perfusion,best_val_rmse,0.04497189910034649,0.07200921353132428,0.006600897735990145,0.08334290046470283,16,16
UNet_unet_perfusion,best_val_mae,0.011823373433799134,0.033838630910357374,-0.006207960185258588,0.029854707052856855,16,16
